state,program,subsidy_type,agency,sub_year,company,city,county,street_address,zip,major_industry,industry,description,naics,jobs_data,wage_data,wage_data_type,investment_data,info_source,notes,subsidy,subsidy_adjusted,megadeal_contrib,subsidy_display,parent_name,unique_id,load_day,subsidy_level,cfda_program_num,face_loan,principal_place_state_code,principal_place_code,principal_place_cc,principal_place_zip,unique_transaction_id,duns,last_mod_date
GA,Atlanta: Tax Allocation Districts,tax increment financing,Invest Atlanta,2022,"1651 Dlh, LLC",Atlanta,Fulton,1651 DLH,,,,Bankhead Seafood,,,,,"$2,967,000 ",Direct from agency; not on web,Year is year of board approval. Subsidy value is TAD funding. Investment is project cost.,538000,538000,0,538000,,1013993,20230209,local,,0,,,,,,,
NY,Industrial Development Agencies,tax credit/rebate; property tax abatement,Hempstead IDA,2003,1-800 Flowers.Com,Westbury,Nassau,1600 Stewart Avenue,11590,retailing,retail-internet flowers,,,91,,,"$34,000,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,506402,506402,0,506402,1-800-Flowers.com,50693,20131231,local,,0,,,,,,,
NY,Industrial Development Agencies,tax credit/rebate; property tax abatement,Hempstead IDA,2004,1-800 Flowers.Com,Westbury,Nassau,1600 Stewart Avenue,11590,retailing,retail-internet flowers,,,182,,,"$34,000,000 ",unpublished data obtained by New York Jobs with Justice (now ALIGN: The Alliance for a Greater New York) from the New York State Comptroller's Office and the New York State Authorities Budget Office. ,Subsidy value is total for the year of property tax abatements and sales tax exemptions net of payments in lieu of taxes. Jobs figure is sum of original estimates of the number of jobs to be created and retained. The Investment Data figure is the total value of the project.,514912,514912,0,514912,1-800-Flowers.com,52711,20131231,local,,0,,,,,,,
NY,Excelsior Jobs Program-Job Growth Track,tax credit/rebate,Empire State Development,2021,"1-800 Flowers.com, Inc.",,,,,retailing,retail-internet flowers,Back Office,,52,,,,https://esd.ny.gov/esd-media-center/reports?tid[]=516&keys=Excelsior,"Company was included in cumulative list of firms admitted to the program as of March 31, 2021. Subsidy value is maximum potential tax credit. Project description is type of business. Jobs figure is promised number of net new jobs.",1000000,1000000,0,1000000,1-800-Flowers.com,988919,20221006,state,,0,,,,,,,
OK,Quality Jobs Incentive Payment,grant,Oklahoma Tax Commission,2008,1-800-FLOWERS.COM,,,,,retailing,retail-internet flowers,,,,,,,http://www.tax.ok.gov/reports1.html,Year is fiscal year; subsidy value is cash payment during the year. ,49220,49220,0,49220,1-800-Flowers.com,198807,20131231,state,,0,,,,,,,
OK,Quality Jobs Incentive Payment,grant,Oklahoma Tax Commission,2008,1-800-FLOWERS.COM,,,,,retailing,retail-internet flowers,,,,,,,http://www.tax.ok.gov/reports1.html,Year is fiscal year; subsidy value is cash payment during the year. ,55270,55270,0,55270,1-800-Flowers.com,198808,20131231,state,,0,,,,,,,
SD,Dakota Seeds,grant,Governor's Office of Economic Development,2015,1st Financial Bank USA,Dakota Dunes,,,,financial services,banking,,,1,,,,http://www.sdreadytowork.com/Financing-Incentives/Public-Records/Dakota-Seeds-Program.aspx,Subsidy value is approved amount. Jobs are number of internship positions.,2000,2000,0,2000,1st Financial Bank USA,692634,20161024,state,,0,,,,,,,
US,Troubled Asset Relief Program (TARP) - Capital Purchase Program,federal loan or loan guarantee,Treasury Department,2009,1st Source Corp,,,,,financial services,banking,,,,,,,"Appendix D of the October 29, 2014 Quarterly Report to Congress of the Office of the Special Inspector General for the Troubled Asset Relief Program; http://www.sigtarp.gov/Quarterly%20Reports/October_29_2014_Report_to_Congress.pdf","In exchange for a capital infusion, the federal government received preferred stock or subordinated debentures, which in most cases were repurchased by the bank. See the source document for repayment details. Face value is total of infusions provided. ",0,0,0,0,1st Source Corporation,580906,20141123,federal,,111000000,IN,,,,,,
US,Temporary Liquidity Guarantee Program: Debt Guarantee Program,federal loan or loan guarantee,Federal Deposit Insurance Corporation,2009,1ST SOURCE CORPORATION,,,,,financial services,banking,,,,,,,https://www.fdic.gov/regulations/resources/TLGP/total_debt.html,Loan guarantee amount is total face value of debt issued between October 2008 and October 2009. See the original source for amounts paid by the company in fees.,0,0,0,0,1st Source Corporation,654921,20151210,federal,,3824457,,,,,,,
MD,Montgomery County Technology Growth Program,grant/loan hybrid program,Department of Economic Development,,20/20 Gene Systems,,Montgomery,,,healthcare services,genetic diagnostics,Bio Tech,,,,,,http://www6.montgomerycountymd.gov/content/council/olo/reports/pdf/oloreport2013-2.pdf,"Data obtained from a February 26, 2013 report by the county's Office of Legislative Oversight. The report contains a list of grant and loan recipients for the period from FY1999 to FY2012 but does not indicate the year for each entry. See the original for information on the status of each award. Project description is industry category. ",50000,50000,0,50000,20/20 GeneSystems,205153,20131231,local,,0,,,,,,,
MD,Montgomery County: Biotechnology Investor Incentive Program,grant,Montgomery County Department of Economic Development,2013,20/20 Gene Systems,Rockville,Montgomery,,,healthcare services,genetic diagnostics,,,,,,,Direct from agency; not on web,Subsidy value is grant value. Year is year of approval. Jobs figure and capital investment are not disclosed.,169050,169050,0,169050,20/20 GeneSystems,697406,20161024,local,,0,,,,,,,
MD,Montgomery County: Biotechnology Investor Incentive Program,grant,Montgomery County Department of Economic Development,2015,20/20 Gene Systems,Rockville,Montgomery,,,healthcare services,genetic diagnostics,,,,,,,Direct from agency; not on web,Subsidy value is grant value. Year is year of approval. Jobs figure and capital investment are not disclosed.,83182,83182,0,83182,20/20 GeneSystems,697951,20161024,local,,0,,,,,,,
MD,Montgomery County: Biotechnology Investor Incentive Program,grant,Montgomery County Department of Economic Development,2014,20/20 Gene Systems,Rockville,Montgomery,,,healthcare services,genetic diagnostics,,,,,,,Direct from agency; not on web,Subsidy value is grant value. Year is year of approval. Jobs figure and capital investment are not disclosed.,75032,75032,0,75032,20/20 GeneSystems,698036,20161024,local,,0,,,,,,,
MD,Montgomery County: Biotechnology Investor Incentive Program,grant,Montgomery County Department of Economic Development,2016,20/20 Gene Systems,Rockville,Montgomery,,,healthcare services,genetic diagnostics,,,,,,,Direct from agency; not on web,Subsidy value is grant value. Year is year of approval. Jobs figure and capital investment are not disclosed.,71426,71426,0,71426,20/20 GeneSystems,698105,20161024,local,,0,,,,,,,
MD,Montgomery County: Biotechnology Investor Incentive Program,grant,Montgomery County Department of Economic Development,2012,20/20 Gene Systems,Rockville,Montgomery,,,healthcare services,genetic diagnostics,,,,,,,Direct from agency; not on web,Subsidy value is grant value. Year is year of approval. Jobs figure and capital investment are not disclosed.,52351,52351,0,52351,20/20 GeneSystems,698381,20161024,local,,0,,,,,,,
MD,Biotechnology Investor Incentive Tax Credit,tax credit/rebate,Department of Business and Economic Development,2015,20/20 Genesystems Inc.,Rockville,Montgomery,"9430 Key West Ave., Suite 100",20850,healthcare services,genetic diagnostics,,,,,,,http://commerce.maryland.gov/fund/maryland-finance-tracker,Year is fiscal year.,570000,570000,0,570000,20/20 GeneSystems,655677,20151210,state,,0,,,,,,,
MD,Biotechnology Investment Incentive Tax Credit,tax credit/rebate,Department of Business & Economic Development,2018,20/20 Genesystems Inc.,Rockville,Montgomery,"9430 Key West Avenue, Suite 100",20850,healthcare services,genetic diagnostics,,541714,,,,,https://commerce.maryland.gov/fund/maryland-finance-tracker,Year is fiscal year. Subsidy is approved amount.,173050,173050,0,173050,20/20 GeneSystems,888733,20200330,state,,0,,,,,,,
MD,Biotechnology Investment Incentive Tax Credit,tax credit/rebate,Department of Business & Economic Development,2019,20/20 Genesystems Inc.,,Montgomery,,,healthcare services,genetic diagnostics,,541714,,,,,https://transparency.md.gov/public/single/?appid=2f3c6c3a-ce52-4211-b284-13060307027a&sheet=809d84d9-fa71-4af5-8727-62b9a62ff772&opt=ctxmenu,Year is fiscal year. Subsidy is approved tax credit amount. Jobs are number of promised jobs. Investment is total project cost.,988008,988008,0,988008,20/20 GeneSystems,972590,20221006,state,,0,,,,,,,
MD,Montgomery County Small Business Revolving Loan Program,loan or bond financing,Department of Economic Development,,"20/20 GeneSystems, Inc.",Rockville,Montgomery,,,healthcare services,genetic diagnostics,Bio Tech,,,,,,http://www6.montgomerycountymd.gov/content/council/olo/reports/pdf/oloreport2013-2.pdf,"Data obtained from a February 26, 2013 report by the county's Office of Legislative Oversight. The report contains a list of loan recipients for the period from FY2000 to FY2012 but does not indicate the year for each entry. See the original for information on the status of each award. Subsidy value is loan amount. Project description is industry category. ",0,0,0,0,20/20 GeneSystems,205119,20131231,local,,50000,,,,,,,
US,Advanced Technology Program,federal grant,Commerce Department: National Institute of Standards and Technology,2009,"20/20 GeneSystems, Inc.",,,,,healthcare services,genetic diagnostics,Tumor profiling system for use in assignment of targeted therapies by layered array analysis.,,,,,,USA Spending: http://www.usaspending.gov/,Year is fiscal year. Subsidy value is federal funding amount in USA Spending.  Program name is per Catalog of Federal Domestic Assistance code. ,435998,435998,0,435998,20/20 GeneSystems,434710,20141123,federal,11.612,0,MD,2467675,Montgomery,208506347,0310ce1d98f954294265d409cf3f3c42,136134686,10/5/2009
US,Advanced Technology Program,federal grant,Commerce Department: National Institute of Standards and Technology,2007,"20/20 GeneSystems, Inc.",,,,,healthcare services,genetic diagnostics,Tumor profiling system for use in assignment of targeted therapies by layered array analysis.,,,,,,USA Spending: http://www.usaspending.gov/,Year is fiscal year. Subsidy value is federal funding amount in USA Spending.  Program name is per Catalog of Federal Domestic Assistance code. ,688958,688958,0,688958,20/20 GeneSystems,434709,20141123,federal,11.612,0,MD,2467675,Montgomery,20850,278be63e6a0c531d9568ba2f2c9f2610,136134686,
US,Advanced Technology Program,federal grant,Commerce Department: National Institute of Standards and Technology,2008,"20/20 GeneSystems, Inc.",,,,,healthcare services,genetic diagnostics,Tumor profiling system for use in assignment of targeted therapies by layered array analysis.,,,,,,USA Spending: http://www.usaspending.gov/,Year is fiscal year. Subsidy value is federal funding amount in USA Spending.  Program name is per Catalog of Federal Domestic Assistance code. ,744237,744237,0,744237,20/20 GeneSystems,434708,20141123,federal,11.612,0,MD,2467675,Montgomery,208506347,f4d980752eb668726c7717830d71334c,136134686,
