agency,agency_code,pen_year,company,city,county,street_address,state,zip,description,naics,info_source,notes,unique_id,current_parent_name,curr_ISIN,curr_cik,load_day,penalty,sub_penalty,penalty_adjusted,orig_id,civil_criminal,npa_dpa,offense_group,primary_offense,secondary_offense,naics_tr,case_id,facility_name,penalty_date,govt_level,case_category,court,litigation_case_title,lawsuit_resolution,pacer_link,reporting_date_parent,hist_ISIN,hist_cik,history_recap
Food and Drug Administration referral to the Justice Department,FDA,2012,Abbott Laboratories Inc.,,,,,,Global Health Care Company Abbott Laboratories Inc. has pleaded guilty and agreed to pay $1.5 billion to resolve its criminal and civil liability arising from the company's unlawful promotion of the prescription drug Depakote for uses not approved as safe and effective by the Food and Drug Administration. The resolution - the second largest payment by a drug company - includes a criminal fine and forfeiture totaling $700 million and civil settlements with the federal government and the states totaling $800 million. Abbott also will be subject to court-supervised probation and reporting obligations for Abbotts CEO and Board of Directors.,,http://www.justice.gov/opa/pr/abbott-labs-pay-15-billion-resolve-criminal-civil-investigations-label-promotion-depakote,,16320,AbbVie,US00287Y1091,1551152,20151011,1500000000,0,1500000000,,civil and criminal,,healthcare-related offenses,off-label or unapproved promotion of medical products,,,,,20120507,federal,agency action,,,,,Abbott Laboratories,US0028241000,1800,Abbott spun off AbbVie in 2013
Environmental Protection Agency,EPA,2006,ABBOTT LABS - N. CHICAGO PLANT,,,,,,,,"Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 9/12/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",,5652745,AbbVie,US00287Y1091,1551152,20220918,475672,0,475672,05-2006-5018,civil,,environment-related offenses,environmental violation,,,05-2006-5018,,20060330,federal,agency action,,,,,Abbott Laboratories,US0028241000,1800,Abbott spun off AbbVie in 2013
Environmental Protection Agency,EPA,2011,ABBOTT LABS - N. CHICAGO PLANT,,,,,,,,"Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 9/12/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",,5653426,AbbVie,US00287Y1091,1551152,20220918,135756,0,135756,05-2012-5007,civil,,environment-related offenses,environmental violation,,,05-2012-5007,,20111214,federal,agency action,,,,,Abbott Laboratories,US0028241000,1800,Abbott spun off AbbVie in 2013
Environmental Protection Agency,EPA,2004,ABBOTT LABS-N CHICAGO PLANT,,,,,,,,"Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 9/12/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",,5652411,AbbVie,US00287Y1091,1551152,20220918,162595,0,162595,05-2004-0804,civil,,environment-related offenses,environmental violation,,,05-2004-0804,,20040816,federal,agency action,,,,,Abbott Laboratories,US0028241000,1800,Abbott spun off AbbVie in 2013
Centers for Medicare & Medicaid Services,CMS,2013,"Actavis Kadian, LLC",,,,,,,,https://www.cms.gov/Medicare/Compliance-and-Audits/Part-C-and-Part-D-Compliance-and-Audits/PharmaceuticalManufacturerEnforcementActions.html,,2081502,AbbVie,US00287Y1091,1551152,20180320,116703,0,116703,,civil,,healthcare-related offenses,Medicare Coverage Gap Discount Program violation,,,,,20130418,federal,agency action,,,,,Actavis PLC,IE00BY9D5467,1578845,Actavis merged with Allergan and both then were bought by AbbVie in 2020
Environmental Protection Agency,EPA,2015,"ACTAVIS,INC.",GURNEE,,605 TRISTATE PKWY,IL,,,424210,"Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 9/12/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",,5653882,AbbVie,US00287Y1091,1551152,20220918,30800,0,30800,05-2015-9914,civil,,environment-related offenses,environmental violation,,424210: Drugs and Druggists' Sundries Merchant Wholesalers,05-2015-9914,ACTAVIS INC,20150928,federal,agency action,,,,,Actavis PLC,IE00BY9D5467,1578845,Actavis merged with Allergan and both then were bought by AbbVie in 2020
Multistate Attorneys General Case,MULTI-AG,2022,Allergan,,,,,,Allergan agreed to pay up to $2.37 billion to settle multistate litigation alleging it deceptively marketed opioid products by downplaying the risk of addiction. ,,https://www.oag.ca.gov/news/press-releases/attorney-general-bonta-announces-237-billion-nationwide-settlement-former-opioid,,5193229,AbbVie,US00287Y1091,1551152,20220918,2370000000,0,2370000000,,civil,,healthcare-related offenses,off-label or unapproved promotion of medical products,,,,,20220729,state,agency action,,,,,AbbVie,US00287Y1091,1551152,
Arkansas Attorney General,AR-AG,2001,Knoll Pharmaceuticals,,,,AR,,,,https://web.archive.org/web/20030306185327fw_/http:/www.ag.state.ar.us/prrecent47.htm,,3190984,AbbVie,US00287Y1091,1551152,20190907,826957,0,826957,,civil,,consumer-protection-related offenses,consumer protection violation,,,,,20011114,state,agency action,,,,,Abbott Laboratories,US0028241000,1800,Knoll was part of the spinoff of AbbVie by Abbott in 2013
Environmental Protection Agency,EPA,2004,Abbyland Foods,ABBOTSFORD,,508 EAST LINDEN STREET,WI,54405,,,"Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 9/12/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",,5652612,Abbyland Foods,,,20220918,25000,0,25000,05-2005-5112,civil,,environment-related offenses,environmental violation,,,05-2005-5112,"ABBYLAND FOODS, INC",20040825,federal,agency action,,,,,Abbyland Foods,,,
Occupational Safety & Health Administration,OSHA,2007,ABBYLAND FOODS INC,ABBOTSFORD,,502 E. LINDEN STREET,WI,54405,,311612,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5476877,Abbyland Foods,,,20220918,84000,0,84000,309838407,civil,,safety-related offenses,workplace safety or health violation,,311612: Meat Processed from Carcasses,,ABBYLAND FOODS INC,20070510,federal,agency action,,,,,Abbyland Foods,,,
Occupational Safety & Health Administration,OSHA,2005,ABBYLAND FOODS INC,ABBOTSFORD,,502 E. LINDEN STREET,WI,54405,,311612,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5465496,Abbyland Foods,,,20220918,6300,0,6300,306800327,civil,,safety-related offenses,workplace safety or health violation,,311612: Meat Processed from Carcasses,,ABBYLAND FOODS INC,20050630,federal,agency action,,,,,Abbyland Foods,,,
Wisconsin Attorney General,WI-AG,2010,"Abbyland Foods, Inc.",Abbotsford,,,WI,,air pollution and storm water management violations,,https://web.archive.org/web/20141102070700/http://www.doj.state.wi.us/media-center/2010-news-releases/november-29-2010,,3186081,Abbyland Foods,,,20190907,600000,0,600000,,civil,,environment-related offenses,environmental violation,,,,,20101129,state,agency action,,,,,Abbyland Foods,,,
Occupational Safety & Health Administration,OSHA,2013,"ABBYLAND FOODS, INC.",ABBOTSFORD,,502 E. LINDEN ST.,WI,54405,,311612,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5533428,Abbyland Foods,,,20220918,16100,0,16100,339483364,civil,,safety-related offenses,workplace safety or health violation,,311612: Meat Processed from Carcasses,,"ABBYLAND FOODS, INC.",20131113,federal,agency action,,,,,Abbyland Foods,,,
Occupational Safety & Health Administration,OSHA,2017,"ABBYLAND FOODS, INC.",ABBOTSFORD,,502 E. LINDEN ST.,WI,54405,,311612,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5571573,Abbyland Foods,,,20220918,6971,0,6971,342321437,civil,,safety-related offenses,workplace safety or health violation,,311612: Meat Processed from Carcasses,,"ABBYLAND FOODS, INC.",20170512,federal,agency action,,,,,Abbyland Foods,,,
Occupational Safety & Health Administration,OSHA,2020,"ABBYLAND FOODS, INC.",ABBOTSFORD,,502 E. LINDEN ST.,WI,54405,,311612,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5620422,Abbyland Foods,,,20220918,5852,0,5852,344917117,civil,,safety-related offenses,workplace safety or health violation,,311612: Meat Processed from Carcasses,,"ABBYLAND FOODS, INC.",20200908,federal,agency action,,,,,Abbyland Foods,,,
Occupational Safety & Health Administration,OSHA,2006,"ABBYLAND PORK PACK, INC.",CURTISS,,539 N. MERIDIAN STREET,WI,54422,,311611,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5466328,Abbyland Foods,,,20220918,40250,0,40250,307042069,civil,,safety-related offenses,workplace safety or health violation,,311611: Animal (except Poultry) Slaughtering,,"ABBYLAND PORK PACK, INC.",20061220,federal,agency action,,,,,Abbyland Foods,,,
Occupational Safety & Health Administration,OSHA,2006,"ABBYLAND PORK PACK, INC.",CURTISS,,539 N. MERIDIAN STREET,WI,54422,,311611,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5466327,Abbyland Foods,,,20220918,25750,0,25750,307042051,civil,,safety-related offenses,workplace safety or health violation,,311611: Animal (except Poultry) Slaughtering,,"ABBYLAND PORK PACK, INC.",20061219,federal,agency action,,,,,Abbyland Foods,,,
Occupational Safety & Health Administration,OSHA,2016,"ABBYLAND PORK PACK, INC.",CURTISS,,P.O. BOX 69 539 NORTH MERIDIAN STREET,WI,54422,,311611,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5558527,Abbyland Foods,,,20220918,15712,0,15712,341542777,civil,,safety-related offenses,workplace safety or health violation,,311611: Animal (except Poultry) Slaughtering,,"ABBYLAND PORK PACK, INC.",20160610,federal,agency action,,,,,Abbyland Foods,,,
Occupational Safety & Health Administration,OSHA,2019,"ABBYLAND PORK PACK, INC.",CURTISS,,P.O. BOX 69 539 NORTH MERIDIAN STREET,WI,54422,,311611,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5602828,Abbyland Foods,,,20220918,11838,0,11838,344012232,civil,,safety-related offenses,workplace safety or health violation,,311611: Animal (except Poultry) Slaughtering,,"ABBYLAND PORK PACK, INC.",20190515,federal,agency action,,,,,Abbyland Foods,,,
Occupational Safety & Health Administration,OSHA,2002,"ABBYLAND PORK PACK, INC.",CURTISS,,539 N. MERIDIAN ST.,WI,54422,,0,"Extracted from a download of OSHA's Enforcment Data downloaded on 9/12/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",,5443175,Abbyland Foods,,,20220918,7105,0,7105,106054216,civil,,safety-related offenses,workplace safety or health violation,,,,"ABBYLAND PORK PACK, INC.",20020729,federal,agency action,,,,,Abbyland Foods,,,
Environmental Protection Agency,EPA,2017,ABBYLAND TRUCKING,CURTISS,,330 PLAZA DRIVE,WI,54422,,811111,"Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 9/12/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",,5654127,Abbyland Foods,,,20220918,75000,0,75000,05-2018-5002,civil,,environment-related offenses,environmental violation,,811111: General Automotive Repair,05-2018-5002,"ABBYLAND TRUCKING, INC.",20171221,federal,agency action,,,,,Abbyland Foods,,,
