current_parent_name,pen_total,num_recs,rank,ownership,curr_ticker,curr_cik,curr_ISIN,hq_country,hq_state,industry,major_industry,viol_parent_url,sub_parent_url
1-800-Flowers.com,14150,2,3092,publicly traded,FLWS,1084869,US68243Q1067,USA,New York,retail-internet flowers,retailing,https://violationtracker.goodjobsfirst.org/parent/1-800-flowerscom,https://subsidytracker.goodjobsfirst.org/parent/1-800-flowerscom
1st Financial Bank USA,10183142,3,1165,privately held,,,,USA,South Dakota,banking,financial services,https://violationtracker.goodjobsfirst.org/parent/1st-financial-bank-usa,https://subsidytracker.goodjobsfirst.org/parent/1st-financial-bank-usa
24 Hour Fitness,56835310,8,605,privately held,,,,USA,California,fitness centers,miscellaneous services,https://violationtracker.goodjobsfirst.org/parent/24-hour-fitness,https://subsidytracker.goodjobsfirst.org/parent/24-hour-fitness
3D Systems,176637,4,2641,publicly traded,DDD,910638,US88554D2053,USA,South Carolina,3-D printers,miscellaneous manufacturing,https://violationtracker.goodjobsfirst.org/parent/3d-systems,https://subsidytracker.goodjobsfirst.org/parent/3d-systems
3M Company,1049323583,113,96,publicly traded,MMM,66740,US88579Y1010,USA,Minnesota,diversified,miscellaneous manufacturing,https://violationtracker.goodjobsfirst.org/parent/3m-company,https://subsidytracker.goodjobsfirst.org/parent/3m-company
7 Day Furniture,17102,3,3070,privately held,,,,USA,Nebraska,retail-furniture,retailing,https://violationtracker.goodjobsfirst.org/parent/7-day-furniture,https://subsidytracker.goodjobsfirst.org/parent/7-day-furniture
84 Lumber,402889,39,2406,privately held,,,,USA,Pennsylvania,retail-building materials,retailing,https://violationtracker.goodjobsfirst.org/parent/84-lumber,https://subsidytracker.goodjobsfirst.org/parent/84-lumber
A.M. Castle & Co.,951472,11,2059,publicly traded,CTAM,18172,US1484114087,USA,Illinois,metals service centers,metals,https://violationtracker.goodjobsfirst.org/parent/am-castle-and-co,https://subsidytracker.goodjobsfirst.org/parent/am-castle-and-co
A.O. Smith Corp.,78961,9,2853,publicly traded,AOS,91142,US8318652091,USA,Wisconsin,heating equipment,miscellaneous manufacturing,https://violationtracker.goodjobsfirst.org/parent/ao-smith-corp,https://subsidytracker.goodjobsfirst.org/parent/ao-smith-corp
AA Rite-Way Roofing,57340,4,2912,privately held,,,,USA,Oregon,roofing contractor,construction and engineering,https://violationtracker.goodjobsfirst.org/parent/aa-rite-way-roofing,
AAC Holdings,79211,3,2852,publicly traded,AACH,1606180,US0003071083,USA,Tennessee,substance abuse services,healthcare services,https://violationtracker.goodjobsfirst.org/parent/aac-holdings,
AAON Inc.,80397,6,2848,publicly traded,AAON,824142,US0003602069,USA,Oklahoma,HVAC equipment,miscellaneous manufacturing,https://violationtracker.goodjobsfirst.org/parent/aaon-inc,https://subsidytracker.goodjobsfirst.org/parent/aaon-inc
AAR Corp.,14058944,39,1054,publicly traded,AIR,1750,US0003611052,USA,Illinois,aerospace & military contracting,aerospace and military contracting,https://violationtracker.goodjobsfirst.org/parent/aar-corp,https://subsidytracker.goodjobsfirst.org/parent/aar-corp
